analysis_panel,arm,walk_depth,saturation_threshold,cost_profile_id,cost_bps,buy_cost_bps,sell_cost_bps,is_primary_cost_profile,total_return,compound_annual_return,annual_vol,absolute_sharpe_or_contract_sharpe,information_ratio_vs_000852,max_drawdown,max_drawdown_peak_date,max_drawdown_trough_date,calmar_ratio,crunch_strategy_return,crunch_000852_return,crunch_excess_return_vs_000852,avg_cash_weight,max_cash_weight,cash_gt_50pct_days,avg_realized_holdings_count,min_realized_holdings_count,p05_realized_holdings_count,avg_max_realized_weight,p95_max_realized_weight,max_realized_weight,max_weight_gt_40pct_days,avg_max_position_weight_within_holdings,p95_max_position_weight_within_holdings,max_position_weight_within_holdings,annual_turnover,total_cost_cny,rebalance_count,p1_skip_count,unbuyable_skip_count,cash_insufficient_skip_count,sell_price_missing_count,p1_saturated_rebalance_count,max_p1_marked_rate,p1_relaxed_buy_filled_count,p1_fallback_trigger_count,p1_fallback_released_buy_filled_count,return_period_count
main_threshold_0p60,T0,30,0.6,single_0bps,0.0,0.0,0.0,False,1.2379799999999999,0.16720411733425267,0.31043801445052643,0.5386070956232697,0.5814698890899366,-0.5399019740501857,2021-11-30,2024-02-07,0.30969347283533083,-0.41010640348509975,-0.1850421485653686,-0.22506425491973114,0.027847388079568332,1.0,5,14.843226788432268,0,7.0,0.12945835250822219,0.3051126102945367,0.44439735926487645,10,0.1326225471574129,0.3146730568156977,0.455371324747746,42.23503456752014,0.0,139,0,12,184,0,27,1.0,0,0,0,1313
main_threshold_0p60,T1,30,0.6,single_0bps,0.0,0.0,0.0,False,-0.07735999999999998,-0.01533442620501968,0.28582609830486205,-0.05364949630549127,-0.1708383820851606,-0.6255589768982004,2021-11-23,2024-10-17,-0.024513158265355866,-0.24030018863571623,-0.1850421485653686,-0.055258040070347625,0.14313695341204352,1.0,184,11.351598173515981,0,4.0,0.16359939402960408,0.36213467121574167,0.5444677269760572,26,0.19966332423343597,0.3871685925178084,0.5723289777094542,37.532507167737585,0.0,139,1002,13,111,0,27,1.0,0,0,0,1313
main_threshold_0p60,T1a,30,0.6,single_0bps,0.0,0.0,0.0,False,0.79434,0.11874509850689496,0.2997528352873808,0.3961433705641215,0.39979996874286333,-0.5007360657099071,2021-11-30,2024-02-06,0.23714109415815057,-0.29396942182150676,-0.1850421485653686,-0.10892727325613816,0.0469419539556849,1.0,14,13.951293759512938,0,7.0,0.14179489570120382,0.3138665305732112,0.4488058456056471,10,0.14939391243122455,0.3234957570617954,0.45330402496526273,41.758727084726644,0.0,139,461,14,102,0,27,1.0,327,0,0,1313
main_threshold_0p60,T1b1,30,0.6,single_0bps,0.0,0.0,0.0,False,0.4993000000000001,0.08083086887252411,0.303894080694376,0.2659836897376593,0.24731587780197872,-0.5431164204772287,2021-11-23,2024-02-06,0.14882788629645768,-0.29725154585850955,-0.1850421485653686,-0.11220939729314094,0.051307293430343265,1.0,14,13.557838660578387,0,7.0,0.14858248811566863,0.3308714069484394,0.4645193639272241,10,0.15700981123604582,0.3407524831007781,0.4772125196232339,41.06402413500689,0.0,139,611,12,117,0,27,1.0,216,27,216,1313
main_threshold_0p60,T1b2,30,0.6,single_0bps,0.0,0.0,0.0,False,0.77962,0.1169777822438216,0.3141281964299384,0.3723886730744712,0.3919392565023248,-0.5910655701528548,2021-11-23,2024-02-07,0.19790999197190612,-0.4103978194699275,-0.1850421485653686,-0.22535567090455888,0.03326093038828824,1.0,5,14.21765601217656,0,7.0,0.1408617887071333,0.31393434073704274,0.44271540121465597,10,0.1450284386419054,0.3160770165145657,0.46470243995652744,41.89763620823779,0.0,139,357,12,108,0,27,1.0,315,27,315,1313
main_threshold_0p60,T0,30,0.6,matched_official_6_11bps,8.5,6.0,11.0,True,1.0249441289999996,0.14500900238652625,0.31042698121359724,0.4671275731884565,0.49744389314535625,-0.5641578133795846,2021-12-14,2024-02-07,0.2570362387039374,-0.4134635243650301,-0.1850421485653686,-0.22842137579966149,0.028121490944907002,1.0,5,14.727549467275495,0,7.0,0.13268780599662883,0.3104234583691014,0.4518490936552927,10,0.13591277370880558,0.3189410697832583,0.455371324747746,42.342275709499255,21226.587099999997,139,0,12,140,0,27,1.0,0,0,0,1313
main_threshold_0p60,T1,30,0.6,matched_official_6_11bps,8.5,6.0,11.0,True,-0.14891216300000076,-0.0304723446465911,0.28813423575572567,-0.10575745907690376,-0.22863749713037002,-0.6265168752304571,2021-11-23,2024-10-17,-0.048637707700023555,-0.23852948272067387,-0.1850421485653686,-0.053487334155305266,0.14300280876907295,1.0,176,11.262557077625571,0,4.0,0.16690597747857377,0.36813533993773384,0.5885594965846026,26,0.20347230635533486,0.40117903553357603,0.6127577319587629,37.373152399030005,12810.2163,139,1013,11,128,0,27,1.0,0,0,0,1313
main_threshold_0p60,T1a,30,0.6,matched_official_6_11bps,8.5,6.0,11.0,True,0.3586924349999985,0.06059488686691683,0.30258939965144827,0.2002544931736402,0.16247279151050933,-0.5660521525504831,2021-11-23,2024-02-06,0.10704824033243597,-0.28851487118007846,-0.1850421485653686,-0.10347272261470986,0.04712197995855473,1.0,14,13.697108066971081,0,7.0,0.14935107387332155,0.3378485397876592,0.46248125334894713,12,0.1573742247693085,0.346350014594793,0.4664685119821661,41.50149010595702,17004.7565,139,454,11,137,0,27,1.0,321,0,0,1313
main_threshold_0p60,T1b1,30,0.6,matched_official_6_11bps,8.5,6.0,11.0,True,0.2976763139999987,0.05128306956856088,0.3037735299508681,0.16882007321985998,0.12487452667772198,-0.5652631815982416,2021-11-23,2024-08-27,0.09072423472471997,-0.2889252395811154,-0.1850421485653686,-0.10388309101574678,0.05364211498612871,1.0,14,13.441400304414003,0,7.0,0.1530490416238232,0.3465998130912331,0.48186588492486004,16,0.16178394658272674,0.3607940366225054,0.48625431649848083,40.790176515463095,16381.368600000002,139,615,10,131,0,27,1.0,216,27,216,1313
main_threshold_0p60,T1b2,30,0.6,matched_official_6_11bps,8.5,6.0,11.0,True,0.4303866749999983,0.07111400425320524,0.31728786276145227,0.2241308685251259,0.21441714636530498,-0.640585689082037,2021-11-23,2024-02-07,0.11101403834842459,-0.4150462188493568,-0.1850421485653686,-0.23000407028398817,0.03392559964567003,1.0,5,13.866818873668189,0,7.0,0.14827026865451678,0.3308671210018142,0.4496864561438753,10,0.15256605971238765,0.34122792645570654,0.46470243995652744,41.56821559569198,17642.332499999997,139,351,8,109,0,27,1.0,306,27,306,1313
main_threshold_0p60,T0,30,0.6,single_20bps,20.0,20.0,20.0,False,0.54014122,0.08642039789042855,0.31449022707402596,0.27479517788031793,0.27361460880053007,-0.6018796622856717,2021-12-13,2024-02-07,0.14358418020346833,-0.4284168515601957,-0.1850421485653686,-0.2433747029948271,0.02422232720717403,1.0,5,14.36986301369863,0,7.0,0.14222883239450343,0.33123704872562043,0.479991485661697,10,0.14534514360186085,0.34206111915218296,0.5013587640279805,42.47513335860274,44412.878,139,0,11,117,0,27,1.0,0,0,0,1313
main_threshold_0p60,T1,30,0.6,single_20bps,20.0,20.0,20.0,False,-0.29316227999999867,-0.06442113433389207,0.2940365016680397,-0.2190923030591012,-0.35655222691707034,-0.6866659444589776,2021-11-23,2024-10-17,-0.0938172845962957,-0.26554947740656354,-0.1850421485653686,-0.08050732884119494,0.13481068301519072,1.0,162,11.035007610350076,0,4.0,0.17924303781044806,0.40741087936789233,0.6714691609677212,87,0.21443363565629286,0.4452507694835751,0.6906518707878224,37.83447023309977,28027.227999999996,139,1001,12,124,0,27,1.0,0,0,0,1313
main_threshold_0p60,T1a,30,0.6,single_20bps,20.0,20.0,20.0,False,0.08268666000000047,0.01536458655615447,0.3063522466943477,0.050153334019723876,-0.022007250719575818,-0.5970732593135994,2021-11-23,2024-02-06,0.025733168110422044,-0.28717538020742517,-0.1850421485653686,-0.10213323164205657,0.04893066092343097,1.0,14,13.38888888888889,0,7.0,0.1565244339757197,0.34749525888477456,0.4799545275011011,30,0.1653253806063452,0.3576419395596261,0.4913499179189292,41.26863723037688,37098.334,139,449,11,122,0,27,1.0,320,0,0,1313
main_threshold_0p60,T1b1,30,0.6,single_20bps,20.0,20.0,20.0,False,0.07483040000000019,0.01394635263251498,0.3068666900949399,0.0454475936381371,-0.027239041085307034,-0.6090374645860872,2021-11-23,2024-08-27,0.022899006125991234,-0.2885553482523071,-0.1850421485653686,-0.1035131996869385,0.053045117420037806,1.0,14,13.177321156773212,0,7.0,0.15881597632311104,0.34861470004749123,0.48539141159520494,30,0.16797067381146732,0.3645141379385056,0.48625431649848083,40.935106555094166,36399.96,139,602,9,117,0,27,1.0,213,27,213,1313
main_threshold_0p60,T1b2,30,0.6,single_20bps,20.0,20.0,20.0,False,0.06559537999999887,0.01226847005082754,0.3224808371842086,0.03804402815978644,-0.012299701385445127,-0.683545728927075,2021-11-30,2024-02-07,0.017948279875999954,-0.42335760808365897,-0.1850421485653686,-0.23831545951829036,0.0309914509226686,1.0,5,13.507610350076103,0,7.0,0.15907966177736696,0.3581218582027462,0.4775879652914238,30,0.1631253201958363,0.3645141379385056,0.48625431649848083,41.46777658667391,37071.462,139,355,8,111,0,27,1.0,303,27,303,1313
main_threshold_0p60,T0,50,0.6,single_0bps,0.0,0.0,0.0,False,0.9405600000000001,0.13569299395848744,0.3138220620839168,0.43238831921957993,0.463368923437749,-0.582745028171837,2021-11-23,2024-02-07,0.23285139709244324,-0.4141643650007817,-0.1850421485653686,-0.22912221643541308,0.02300891019767592,1.0,5,14.71689497716895,0,7.0,0.13435365283316317,0.30345930967595514,0.4467989684942258,10,0.13682748327377597,0.3115643284523172,0.4507357681736435,39.75678673803626,0.0,139,0,11,125,0,26,0.98,0,0,0,1313
main_threshold_0p60,T1,50,0.6,single_0bps,0.0,0.0,0.0,False,-0.06391999999999998,-0.01259758067479666,0.2963765208936975,-0.0425053261196594,-0.14943230710706856,-0.6347389662901268,2021-11-23,2024-10-17,-0.019846868309387124,-0.28660776711370983,-0.1850421485653686,-0.10156561854834123,0.07979246178202562,1.0,74,12.597412480974125,0,6.0,0.1607222233335319,0.3466974840341296,0.5373184925702017,26,0.17745265375117497,0.3650673377811237,0.5682360598828379,37.74144494810865,0.0,139,1372,11,204,0,26,0.98,0,0,0,1313
main_threshold_0p60,T1a,50,0.6,single_0bps,0.0,0.0,0.0,False,0.65065,0.10096584313209145,0.3069677472366731,0.3289135228081355,0.33098785317574725,-0.548519166390204,2021-11-23,2024-02-07,0.1840698544711684,-0.34571341156930846,-0.1850421485653686,-0.16067126300393986,0.028454876533515378,1.0,14,14.275494672754947,0,7.0,0.14196849407824746,0.3159964625598696,0.451501795810154,10,0.1458594217524182,0.31897476891378423,0.45577756682259557,39.67131241750975,0.0,139,489,13,176,0,26,0.98,311,0,0,1313
main_threshold_0p60,T1b1,50,0.6,single_0bps,0.0,0.0,0.0,False,0.4517500000000001,0.07416598460205659,0.30902468379835946,0.24000019574633838,0.2238289875064196,-0.5969494529719745,2021-11-23,2024-02-07,0.12424164932694648,-0.35044109704134896,-0.1850421485653686,-0.16539894847598036,0.02832102804402511,1.0,14,14.045662100456621,0,7.0,0.14754210784149285,0.33065343735283625,0.4618629825801741,10,0.15125526370893014,0.33430511332107665,0.46582035816149997,39.34239188117572,0.0,139,671,20,246,0,26,0.98,209,26,209,1313
main_threshold_0p60,T1b2,50,0.6,single_0bps,0.0,0.0,0.0,False,0.4537500000000001,0.07444984432040536,0.3160635235739496,0.23555342128237164,0.22632523580562403,-0.630852748247003,2021-11-23,2024-02-07,0.11801461518125209,-0.41359651224069394,-0.1850421485653686,-0.22855436367532533,0.026702903789899056,1.0,5,14.06392694063927,0,7.0,0.14750318176192828,0.33157735531801635,0.46267807590939175,10,0.15078494877618584,0.33862889639693994,0.46582035816149997,39.267266319396654,0.0,139,407,10,220,0,26,0.98,267,26,267,1313
main_threshold_0p60,T0,50,0.6,matched_official_6_11bps,8.5,6.0,11.0,True,0.7888239489999991,0.11808420637435257,0.31232334606290524,0.37808318802581337,0.39451501112271686,-0.5867131409365485,2021-11-22,2024-02-07,0.2012639536006627,-0.41548861734922704,-0.1850421485653686,-0.23044646878385844,0.025799440416179317,1.0,5,14.544901065449011,0,7.0,0.13795613476413304,0.3316737507885578,0.47194390871441855,10,0.14121171965790993,0.3387163911793871,0.4872233769409463,39.697174842476166,18569.6051,139,0,9,247,0,26,0.98,0,0,0,1313
main_threshold_0p60,T1,50,0.6,matched_official_6_11bps,8.5,6.0,11.0,True,-0.1977727010000001,-0.04141174155427407,0.30155092958648283,-0.13732917889214286,-0.2586400996672127,-0.6738160075129549,2021-11-23,2024-10-17,-0.061458530359235916,-0.28359551487328793,-0.1850421485653686,-0.09855336630791933,0.07923765357565637,1.0,68,12.163622526636225,0,6.0,0.17179285318610554,0.3757556203974981,0.6290131027688872,35,0.18925471115557646,0.3929785947000472,0.657421745382148,37.58625070691504,12633.270099999998,139,1346,10,169,0,26,0.98,0,0,0,1313
main_threshold_0p60,T1a,50,0.6,matched_official_6_11bps,8.5,6.0,11.0,True,0.3721986039999974,0.06261027637880145,0.3087179673348275,0.20280736142220054,0.1764138091385407,-0.5980470687238735,2021-11-23,2024-02-07,0.10469121855642682,-0.34399849100716584,-0.1850421485653686,-0.15895634244179724,0.029131466903608464,1.0,14,14.02130898021309,0,7.0,0.1474368443645103,0.3345230429063441,0.45342535118205973,13,0.15158824207891045,0.3430866398995667,0.45577756682259557,39.41249096064131,16220.139600000002,139,488,12,194,0,26,0.98,309,0,0,1313
main_threshold_0p60,T1b1,50,0.6,matched_official_6_11bps,8.5,6.0,11.0,True,0.24133319599999936,0.04236471647867246,0.30998118048690526,0.13666867263402174,0.09502283363624459,-0.6011408802972307,2021-11-23,2024-02-07,0.07047385707278046,-0.3427379781052079,-0.1850421485653686,-0.1576958295398393,0.031209956843529493,1.0,14,13.84779299847793,0,7.0,0.15124053544922067,0.3426747454584569,0.46671381167158693,14,0.15597817663250488,0.34989145496471735,0.4863077223469687,39.25862753317518,15813.680399999997,139,657,12,119,0,26,0.98,212,26,212,1313
main_threshold_0p60,T1b2,50,0.6,matched_official_6_11bps,8.5,6.0,11.0,True,0.2336850509999997,0.04112903352355435,0.316408593790001,0.12998709368447656,0.0956490658478554,-0.6399110518962317,2021-11-23,2024-02-07,0.06427304763947701,-0.4159773552255266,-0.1850421485653686,-0.230935206660158,0.027555069397659872,1.0,5,13.985540334855404,0,7.0,0.15081465152144308,0.3410071007358266,0.47281521849359,10,0.1543853102725384,0.34769494435579695,0.49247386242863145,39.01677284213092,15749.494900000002,139,383,12,115,0,26,0.98,265,26,265,1313
threshold_sensitivity_0p50,T1b1,50,0.5,matched_official_6_11bps,8.5,6.0,11.0,True,0.2226283219999996,0.039331648804539876,0.309307149678131,0.12716049029409407,0.08182419151039566,-0.6024317384460612,2021-11-23,2024-02-07,0.0652881418664854,-0.34512128908673145,-0.1850421485653686,-0.16007914052136285,0.03214774650193115,1.0,14,13.790715372907155,0,7.0,0.15163856828992114,0.3404480743913283,0.455076916592264,21,0.15643036347675396,0.350185428994492,0.458372633370908,39.129879160350164,15684.1678,139,611,12,178,0,30,0.98,221,30,221,1313
threshold_sensitivity_0p50,T1b2,50,0.5,matched_official_6_11bps,8.5,6.0,11.0,True,0.2214710479999984,0.039142763632795896,0.3187407817519952,0.12280437858514123,0.0899216507856618,-0.6550803293982006,2021-11-23,2024-02-07,0.05975261639859494,-0.41776733011642964,-0.1850421485653686,-0.23272518155106103,0.028056348387195073,1.0,5,13.961187214611872,0,7.0,0.15039978623048472,0.341648839016812,0.46432667848530557,12,0.15408467971650228,0.34989145496471735,0.4863077223469687,38.851967100789814,15658.895199999999,139,305,12,111,0,30,0.98,297,30,297,1313
threshold_sensitivity_0p70,T1b1,50,0.7,matched_official_6_11bps,8.5,6.0,11.0,True,0.19688531099999929,0.0350954041288003,0.31004128234133455,0.11319590689269124,0.06518055701948744,-0.6168845929376604,2021-11-23,2024-02-07,0.056891361091825625,-0.3401689276362435,-0.1850421485653686,-0.1551267790708749,0.03137531217987361,1.0,14,13.713850837138509,0,7.0,0.15391626328528146,0.3460621567578379,0.46597471841478116,22,0.1587789622191504,0.351423517182647,0.4863077223469687,39.22812066318924,15501.4689,139,765,11,219,0,18,0.98,166,18,166,1313
threshold_sensitivity_0p70,T1b2,50,0.7,matched_official_6_11bps,8.5,6.0,11.0,True,0.2860868839999988,0.049474546988343304,0.31575340831600984,0.15668729358204925,0.1295704959061682,-0.6551853620235857,2021-11-23,2024-02-07,0.0755122898892883,-0.41005077396164713,-0.1850421485653686,-0.22500862539627853,0.025468587854731137,1.0,5,13.949010654490106,0,7.0,0.1518273559088611,0.34373160849264983,0.46897549126433113,11,0.15515951792831284,0.34989145496471735,0.4863077223469687,39.489442182845096,15991.311599999999,139,591,11,178,0,18,0.98,202,18,202,1313
main_threshold_0p60,T0,50,0.6,single_20bps,20.0,20.0,20.0,False,0.47222311999999955,0.07705692222051264,0.31514014571615656,0.2445163628562798,0.23658034614317167,-0.6170706084412909,2021-11-22,2024-02-07,0.12487537271489403,-0.41502214890056677,-0.1850421485653686,-0.22998000033519816,0.02787017153786019,1.0,5,14.280821917808218,0,7.0,0.143169533494455,0.3400717754017314,0.49006578244616084,10,0.1465826221841089,0.3482794984914373,0.4924982079738982,39.30988220659453,39287.68800000001,139,0,11,184,0,26,0.98,0,0,0,1313
main_threshold_0p60,T1,50,0.6,single_20bps,20.0,20.0,20.0,False,-0.3160933999999995,-0.07032436556018296,0.30503507393949697,-0.23054517846735106,-0.3708008083755481,-0.699021647767812,2021-11-23,2024-10-17,-0.10060398813792101,-0.30399822919994335,-0.1850421485653686,-0.11895608063457475,0.07706174686875834,1.0,59,11.840943683409437,0,5.0,0.1816603380095603,0.4089307988115736,0.7083472172367288,86,0.19858949632762873,0.4225166428784984,0.7148978395200938,37.32354756619422,27878.340000000004,139,1333,7,160,0,26,0.98,0,0,0,1313
main_threshold_0p60,T1a,50,0.6,single_20bps,20.0,20.0,20.0,False,0.060735580000001566,0.011380784157504653,0.3143981350882526,0.036198637610588974,-0.026969268567688345,-0.6499656342845863,2021-11-23,2024-02-07,0.017509824454075056,-0.3404127223909259,-0.1850421485653686,-0.1553705738255573,0.026984816296086744,1.0,14,13.608828006088281,0,7.0,0.1582390095510101,0.36763284103183,0.4763780356586218,30,0.16243275584408914,0.37182036795050954,0.49499750195360037,39.278327280331624,34426.441999999995,139,484,11,218,0,26,0.98,304,0,0,1313
main_threshold_0p60,T1b1,50,0.6,single_20bps,20.0,20.0,20.0,False,0.07212580000000113,0.013456172304390668,0.31082511817801844,0.043291778937517955,-0.0241385811981635,-0.603259185404704,2021-11-23,2024-02-07,0.022305789335579574,-0.3400396476314629,-0.1850421485653686,-0.15499749906609428,0.030134507360539,1.0,14,13.6765601217656,0,6.0,0.1550810758057656,0.3458804269253142,0.471780840431928,30,0.15986376639110558,0.35129704669989825,0.4863077223469687,39.07504704062977,35747.42,139,670,12,207,0,26,0.98,205,26,205,1313
main_threshold_0p60,T1b2,50,0.6,single_20bps,20.0,20.0,20.0,False,0.06147636000000034,0.011516306255502151,0.3231032773411036,0.035642802358034464,-0.014013486819838435,-0.6893109286696938,2021-11-23,2024-02-07,0.016706983418538792,-0.4073156719971587,-0.1850421485653686,-0.22227352343179008,0.027528838592853412,1.0,5,13.50152207001522,0,6.0,0.1614886592148615,0.37264133589878945,0.49324604442046344,39,0.1655142763585108,0.3820287536248066,0.520867371613055,38.779225884993465,33828.364,139,392,11,182,0,26,0.98,261,26,261,1313
