arm,walk_depth,cost_profile_id,cost_bps,buy_cost_bps,sell_cost_bps,is_primary_cost_profile,total_return,compound_annual_return,annual_vol,absolute_sharpe_or_contract_sharpe,information_ratio_vs_000852,max_drawdown,max_drawdown_peak_date,max_drawdown_trough_date,calmar_ratio,crunch_strategy_return,crunch_000852_return,crunch_excess_return_vs_000852,avg_cash_weight,max_cash_weight,cash_gt_50pct_days,avg_realized_holdings_count,min_realized_holdings_count,p05_realized_holdings_count,avg_max_realized_weight,p95_max_realized_weight,max_realized_weight,max_weight_gt_40pct_days,avg_max_position_weight_within_holdings,p95_max_position_weight_within_holdings,max_position_weight_within_holdings,annual_turnover,total_cost_cny,rebalance_count,p1_skip_count,unbuyable_skip_count,cash_insufficient_skip_count,sell_price_missing_count,p1_saturated_rebalance_count,max_p1_marked_rate,return_period_count
T0,30,single_0bps,0.0,0.0,0.0,False,0.93815,0.1354221589780369,0.31546095689281095,0.4292834216693617,0.4473123553905748,-0.6108639715535285,2021-08-06,2024-02-07,0.22168955002148164,-0.43784340287185053,-0.1850421485653686,-0.2528012543064819,0.02635082561393752,1.0,5,14.751141552511415,0,8.0,0.1302435825508531,0.33502635372792827,0.39631518667139076,0,0.13321193534916417,0.3384806417932895,0.40445402881255627,40.79455389109953,0.0,139,0,10,127,0,22,1.0,1313
T1,30,single_0bps,0.0,0.0,0.0,False,-0.09885,-0.019778225305417063,0.285182803998129,-0.06935279767270547,-0.19111655383013876,-0.6320265964815072,2021-06-07,2025-02-05,-0.031293343374349226,-0.20837630999223233,-0.1850421485653686,-0.02333416142686373,0.12861675132826475,1.0,165,11.950532724505328,0,4.0,0.15120526819539656,0.3441156361985262,0.5672938116656128,10,0.18371173118316597,0.3680109512881963,1.0,36.212949350156954,0.0,139,924,10,131,0,22,1.0,1313
T0,30,matched_official_6_11bps,8.5,6.0,11.0,True,0.5744473169999991,0.09102370954032524,0.3166706441202452,0.28743968293367284,0.2820024879648817,-0.6319966326352553,2021-08-06,2024-02-07,0.14402562425179538,-0.44995714756795313,-0.1850421485653686,-0.26491499900258453,0.02528088558570641,1.0,5,14.439878234398781,0,8.0,0.13611698697820057,0.3507973602039712,0.40914958137694213,4,0.1389419147533793,0.3554559857312501,0.40968605249614,40.48368587733278,18205.2683,139,0,10,138,0,22,1.0,1313
T1,30,matched_official_6_11bps,8.5,6.0,11.0,True,-0.15446394300000232,-0.03168937527331117,0.2856439428141735,-0.11094012693252447,-0.23926126695813352,-0.6477285624399614,2021-06-07,2025-02-05,-0.048923850376365784,-0.21512236160095544,-0.1850421485653686,-0.030080213035586834,0.12750496820463453,1.0,165,11.836377473363775,0,4.0,0.1554240020869573,0.3555536052301447,0.5992004193994663,10,0.18814700463074743,0.3760085508576991,1.0,36.113486927164026,13813.3943,139,935,10,131,0,22,1.0,1313
T0,30,single_20bps,20.0,20.0,20.0,False,0.11392121999999993,0.020922167551224335,0.3180233111550213,0.0657881570858363,0.014986414755830027,-0.6964749452428176,2021-08-06,2024-02-07,0.030040086429713668,-0.44771176472379604,-0.1850421485653686,-0.26266961615842743,0.02535090882494262,1.0,5,13.925418569254186,0,7.0,0.14635815348589934,0.3268283000190314,0.4822382080569012,22,0.14950495754208742,0.33299364941524545,0.49868655198711975,40.22828063230062,35666.878,139,0,11,146,0,22,1.0,1313
T1,30,single_20bps,20.0,20.0,20.0,False,-0.33434199999999925,-0.07513755482727835,0.29878511347509995,-0.25147690242452503,-0.3891148088303264,-0.720985634306061,2021-06-07,2024-12-23,-0.1042150512466136,-0.22043084372103783,-0.1850421485653686,-0.035388695155669225,0.12044368396578244,1.0,165,11.28158295281583,0,4.0,0.17356846832237507,0.37481449018239116,0.7620820048318077,62,0.20571891888343957,0.43168824115503446,1.0,36.14606381637184,27779.199999999997,139,918,6,139,0,22,1.0,1313
T0,50,single_0bps,0.0,0.0,0.0,False,1.1842899999999998,0.1617769841195016,0.3145034439729167,0.5143885932563362,0.5425929186454965,-0.588248384781048,2021-11-29,2024-02-07,0.2750147527897023,-0.42726047231514286,-0.1850421485653686,-0.24221832374977426,0.026624804163148833,1.0,5,14.891171993911719,0,9.0,0.13077288385546454,0.3383101078935197,0.38006313874471614,0,0.1338238718571182,0.3401244634365123,0.3888959959063579,38.33350048794144,0.0,139,0,11,136,0,21,0.98,1313
T1,50,single_0bps,0.0,0.0,0.0,False,-0.0033800000000000496,-0.000649600590822752,0.2948705099911239,-0.00220300290741962,-0.10244451890712732,-0.6232469304229195,2021-11-09,2024-10-17,-0.0010422844608026383,-0.32905661155746235,-0.1850421485653686,-0.14401446299209375,0.07481479365890131,1.0,69,13.148401826484019,0,7.0,0.14536327425721973,0.3300951397200221,0.50984302624807,10,0.16579372562358702,0.35415928079076686,1.0,36.03648394144441,0.0,139,1244,13,172,0,21,0.98,1313
T0,50,matched_official_6_11bps,8.5,6.0,11.0,True,0.7151643339999991,0.10909710138852358,0.3161905722431635,0.3450359086121753,0.3507490683429071,-0.6366110692101556,2021-06-07,2024-02-07,0.17137166892790684,-0.4361361438286838,-0.1850421485653686,-0.2510939952633152,0.024186788241100494,1.0,5,14.440639269406393,0,8.0,0.13904987567015326,0.3506690280892965,0.4204724345974389,7,0.1420507882340961,0.35948402097345317,0.4355143659632135,38.16741554877341,17819.5666,139,0,8,88,0,21,0.98,1313
T1,50,matched_official_6_11bps,8.5,6.0,11.0,True,-0.13728376499999995,-0.02794387883431637,0.29701720297641593,-0.09408168467782387,-0.2125897466344584,-0.6632421512269712,2021-11-09,2025-02-05,-0.04213224202144168,-0.3465533949160421,-0.1850421485653686,-0.1615112463506735,0.07321247239209791,1.0,69,12.856164383561644,0,7.0,0.1525202573276604,0.3475945585715645,0.590933892959868,10,0.17289505302172223,0.3640816544565654,1.0,35.71288200767426,14162.3765,139,1232,11,133,0,21,0.98,1313
T0,50,single_20bps,20.0,20.0,20.0,False,0.6613095000000002,0.10232685298834698,0.31574737854508167,0.3240782345046041,0.32595894835926015,-0.6301761236592847,2021-11-29,2024-02-07,0.16237818150608277,-0.44163770427664206,-0.1850421485653686,-0.25659555571127346,0.026730098164035297,1.0,5,14.4779299847793,0,8.0,0.13719214797216103,0.3446633380296476,0.38361219793683865,0,0.14039302667817907,0.3539925879066163,0.399134636997078,37.770495470035726,42930.05,139,0,9,173,0,21,0.98,1313
T1,50,single_20bps,20.0,20.0,20.0,False,-0.21659763999999904,-0.04577048076318824,0.2991033979154433,-0.15302561282211705,-0.28365330801145,-0.6814473280813749,2021-11-09,2025-02-05,-0.06716657161464806,-0.34236020764140096,-0.1850421485653686,-0.15731805907603236,0.07212608984247132,1.0,69,12.75875190258752,0,6.0,0.15573897796953232,0.35651991879179157,0.6311142762535441,14,0.1761366530257731,0.37253129356256925,1.0,35.54917824512251,32216.764,139,1231,11,97,0,21,0.98,1313
