window_id,source_backtest_path,variant_id,is_identity,state_machine,timing,e_low,transaction_cost_bps,total_return,compound_annual_return,annual_vol,contract_sharpe,max_drawdown,calmar_ratio,benchmark_total_return,excess_return_vs_000852,information_ratio,max_drawdown_peak_date,max_drawdown_trough_date,crunch_strategy_return,crunch_000852_return,crunch_excess_return_vs_000852,average_exposure,exposure_lt_1_day_ratio,exposure_switch_count,cumulative_cost_drag_pp,return_period_count,nav_row_count
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,baseline_identity,True,identity,daily,1.0,0.0,1.1051554853774173,0.15357789449949566,0.22972139774358852,0.668539787795114,-0.3742978588042636,0.4103093055090335,0.25162190457765377,0.8535335807997635,0.5142602442112923,2023-09-04,2024-02-07,-0.358698342317463,-0.1850421485653686,-0.1736561937520944,1.0,0.0,0,0.0,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_biweekly_elow0_cost0bps,False,hysteresis,biweekly,0.0,0.0,0.21794940640824367,0.03856708581258683,0.1666332774202795,0.23144888229806349,-0.23146109467816933,0.1666244854938222,0.25162190457765377,-0.03367249816941009,-0.09383655181323568,2021-01-04,2022-08-03,-0.10681069251697661,-0.1850421485653686,0.07823145604839199,0.5616438356164384,0.4383561643835616,16,0.0,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_biweekly_elow0.3_cost0bps,False,hysteresis,biweekly,0.3,0.0,0.45518214637147536,0.0746529148241688,0.17322521427791154,0.4309587096506655,-0.23361359676962767,0.319557234067099,0.25162190457765377,0.2035602417938216,0.07660869917823503,2021-01-04,2022-04-26,-0.18969694713198448,-0.1850421485653686,-0.004654798566615881,0.6931506849315068,0.4383561643835616,16,0.0,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_biweekly_elow0.5_cost0bps,False,hysteresis,biweekly,0.5,0.0,0.6277815904900534,0.09802186055994389,0.18440684695450496,0.5315521748719388,-0.2575592058339996,0.3805799145968803,0.25162190457765377,0.3761596859123997,0.20569468926315115,2021-08-25,2022-04-26,-0.2413429895564837,-0.1850421485653686,-0.0563008409911151,0.7808219178082192,0.4383561643835616,16,0.0,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_biweekly_elow0.7_cost0bps,False,hysteresis,biweekly,0.7,0.0,0.8113014648481596,0.12076706121862868,0.20002270730246116,0.6037667565213618,-0.3024266958784375,0.399326722357777,0.25162190457765377,0.5596795602705058,0.337169329206619,2023-06-20,2024-02-07,-0.29024240141544333,-0.1850421485653686,-0.10520025285007473,0.8684931506849314,0.4383561643835616,16,0.0,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_daily_elow0_cost0bps,False,hysteresis,daily,0.0,0.0,0.6557024089910173,0.10161181964683519,0.1730226133804642,0.587274794095256,-0.17151964709372047,0.5924208763752483,0.25162190457765377,0.4040805044133635,0.18302969256369847,2021-01-04,2022-03-07,0.0,-0.1850421485653686,0.1850421485653686,0.669710806697108,0.3302891933028919,33,0.0,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_daily_elow0.3_cost0bps,False,hysteresis,daily,0.3,0.0,0.8019358031971493,0.11965248932178052,0.17883301904653054,0.6690738095219885,-0.21512990620367223,0.5561871495844034,0.25162190457765377,0.5503138986194955,0.28896038876543617,2021-08-25,2022-04-26,-0.12274431610513814,-0.1850421485653686,0.06229783246023046,0.7687975646879756,0.3302891933028919,33,0.0,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_daily_elow0.5_cost0bps,False,hysteresis,daily,0.5,0.0,0.8951657688018384,0.130545284460579,0.1887665736765389,0.6915699210829295,-0.24684576128514168,0.5288536606054206,0.25162190457765377,0.6435438642241846,0.36245456298517065,2021-08-25,2022-04-26,-0.19695477648740767,-0.1850421485653686,-0.011912627922039065,0.834855403348554,0.3302891933028919,33,0.0,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_daily_elow0.7_cost0bps,False,hysteresis,daily,0.7,0.0,0.9836772208417213,0.14049315637614734,0.2027690485192494,0.6928727900146454,-0.27801058798123135,0.5053518191387448,0.25162190457765377,0.7320553162640675,0.43158244059117085,2021-08-25,2022-04-26,-0.2655416287577722,-0.1850421485653686,-0.0804994801924036,0.9009132420091326,0.3302891933028919,33,0.0,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,two_state_biweekly_elow0_cost0bps,False,two_state,biweekly,0.0,0.0,1.0848251648861083,0.15143132985090957,0.20251028422181655,0.7477710597899392,-0.2345823951882512,0.645535781700015,0.25162190457765377,0.8332032603084545,0.4384054458534573,2021-01-04,2022-05-24,-0.10681069251697661,-0.1850421485653686,0.07823145604839199,0.8873668188736682,0.1126331811263318,24,0.0,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,two_state_biweekly_elow0.3_cost0bps,False,two_state,biweekly,0.3,0.0,1.1045161979891214,0.1535106513584792,0.20510205679509516,0.7484598338857334,-0.24970680633987086,0.6147635845758204,0.25162190457765377,0.8528942934114676,0.47462865863253806,2021-08-25,2022-04-26,-0.18969694713198448,-0.1850421485653686,-0.004654798566615881,0.9211567732115676,0.1126331811263318,24,0.0,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,two_state_biweekly_elow0.5_cost0bps,False,two_state,biweekly,0.5,0.0,1.1112366198940187,0.1542167121064164,0.20963848676256475,0.7356316795068326,-0.2712399172907074,0.5685620083017915,0.25162190457765377,0.8596147153163649,0.4936691660366456,2021-08-25,2022-04-26,-0.2413429895564837,-0.1850421485653686,-0.0563008409911151,0.943683409436834,0.1126331811263318,24,0.0,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,two_state_biweekly_elow0.7_cost0bps,False,two_state,biweekly,0.7,0.0,1.112742841263374,0.15437470949794307,0.21626709377028505,0.7138150645419828,-0.3058040794082131,0.5048157297204354,0.25162190457765377,0.8611209366857202,0.5069328116532896,2023-06-20,2024-02-07,-0.29024240141544333,-0.1850421485653686,-0.10520025285007473,0.9662100456621003,0.1126331811263318,24,0.0,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,two_state_daily_elow0_cost0bps,False,two_state,daily,0.0,0.0,0.8214575330500349,0.12197044560444126,0.20100948055195617,0.6067895169397983,-0.2293350787716758,0.5318438254527738,0.25162190457765377,0.5698356284723811,0.3019912726100768,2021-08-25,2022-04-15,-0.08929776697299108,-0.1850421485653686,0.09574438159237753,0.8706240487062404,0.1293759512937595,89,0.0,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,two_state_daily_elow0.3_cost0bps,False,two_state,daily,0.3,0.0,0.9153439724186307,0.1328456599024086,0.20374045387043338,0.6520337879824809,-0.2578416709775043,0.5152218390409007,0.25162190457765377,0.663722067840977,0.37272666520271924,2021-08-25,2022-04-26,-0.1785663980136708,-0.1850421485653686,0.006475750551697801,0.9094368340943684,0.1293759512937595,89,0.0,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,two_state_daily_elow0.5_cost0bps,False,two_state,daily,0.5,0.0,0.9741942270006763,0.13944471678502435,0.20853644153671239,0.6686827288192477,-0.2767613120697471,0.503844687475259,0.25162190457765377,0.7225723224230225,0.4188085114593307,2021-08-25,2022-04-26,-0.23389538907602614,-0.1850421485653686,-0.048853240510657536,0.9353120243531202,0.1293759512937595,89,0.0,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,two_state_daily_elow0.7_cost0bps,False,two_state,daily,0.7,0.0,1.0295559406382564,0.14550904148230281,0.21553889734136272,0.6750941165475615,-0.30257592042720083,0.48090092984551297,0.25162190457765377,0.7779340360606026,0.46142420213462,2023-06-20,2024-02-07,-0.2860597073518485,-0.1850421485653686,-0.10101755878647989,0.9611872146118722,0.1293759512937595,89,0.0,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_biweekly_elow0_cost20bps,False,hysteresis,biweekly,0.0,20.0,0.1797372712781815,0.03223250067820027,0.166484227620064,0.19360693285467565,-0.2376013541053974,0.13565789976054715,0.25162190457765377,-0.07188463329947226,-0.12225960095789891,2021-01-04,2022-08-03,-0.10859707113194261,-0.1850421485653686,0.07644507743342599,0.5616438356164384,0.4383561643835616,16,3.2,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_biweekly_elow0.3_cost20bps,False,hysteresis,biweekly,0.3,20.0,0.423035882139996,0.07005534584121387,0.17315559278837894,0.40458032404897015,-0.23684099504973966,0.29579062453483335,0.25162190457765377,0.17141397756234222,0.05463319554612407,2021-01-04,2022-04-26,-0.19083532230262357,-0.1850421485653686,-0.005793173737254964,0.6931506849315068,0.4383561643835616,16,2.2399999999999998,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_biweekly_elow0.5_cost20bps,False,hysteresis,biweekly,0.5,20.0,0.6019955929307399,0.09466191623578757,0.18437387717397336,0.5134236893356944,-0.25869908442092227,0.3659151575572093,0.25162190457765377,0.35037368835308613,0.18929587856019403,2023-06-20,2024-02-07,-0.24210606048133565,-0.1850421485653686,-0.05706391191596705,0.7808219178082192,0.4383561643835616,16,1.6,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_biweekly_elow0.7_cost20bps,False,hysteresis,biweekly,0.7,20.0,0.7940176981427436,0.118706527893079,0.20001207045551625,0.5934968205805358,-0.3036921731930592,0.39087779788653443,0.25162190457765377,0.5423957935650898,0.32714501287039577,2023-06-20,2024-02-07,-0.29067173277410474,-0.1850421485653686,-0.10562958420873614,0.8684931506849314,0.4383561643835616,16,0.9600000000000001,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_daily_elow0_cost20bps,False,hysteresis,daily,0.0,20.0,0.5496504360911583,0.0877046112031723,0.17324847960923082,0.5062359646733623,-0.18306518504567548,0.47908951765618163,0.25162190457765377,0.2980285315135045,0.12455766368969431,2021-01-04,2022-03-08,0.0,-0.1850421485653686,0.1850421485653686,0.669710806697108,0.3302891933028919,33,6.6000000000000005,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_daily_elow0.3_cost20bps,False,hysteresis,daily,0.3,20.0,0.7204284349607555,0.10974960958607616,0.17893660479939694,0.6133435342037185,-0.22062792901222605,0.4974420513188718,0.25162190457765377,0.4688065303831017,0.24386884343329854,2021-08-25,2022-04-26,-0.12274431610513814,-0.1850421485653686,0.06229783246023046,0.7687975646879756,0.3302891933028919,33,4.62,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_daily_elow0.5_cost20bps,False,hysteresis,daily,0.5,20.0,0.8335721617593888,0.12339882744551334,0.18881437412037186,0.6535457272275511,-0.2506232481498798,0.49236784039969567,0.25162190457765377,0.581950257181735,0.3288383169796858,2021-08-25,2022-04-26,-0.19695477648740767,-0.1850421485653686,-0.011912627922039065,0.834855403348554,0.3302891933028919,33,3.3000000000000003,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_daily_elow0.7_cost20bps,False,hysteresis,daily,0.7,20.0,0.9447657329494168,0.13616498245587727,0.20278328948628568,0.6714802920932307,-0.28018853442250413,0.4859762828501408,0.25162190457765377,0.693143828371763,0.4110322530777434,2021-08-25,2022-04-26,-0.2655416287577722,-0.1850421485653686,-0.0804994801924036,0.9009132420091326,0.3302891933028919,33,1.9800000000000002,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,two_state_biweekly_elow0_cost20bps,False,two_state,biweekly,0.0,20.0,0.9873796254093716,0.14090139501269872,0.2024075731862635,0.6961270904771713,-0.2436667926238405,0.5782544001808839,0.25162190457765377,0.7357577208317179,0.39368655233556016,2021-01-04,2022-05-24,-0.10859707113194261,-0.1850421485653686,0.07644507743342599,0.8873668188736682,0.1126331811263318,24,4.8,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,two_state_biweekly_elow0.3_cost20bps,False,two_state,biweekly,0.3,20.0,1.035112690827721,0.1461103180576806,0.20505633967607187,0.7125374338022981,-0.2528546059231259,0.5778432135901126,0.25162190457765377,0.7834907862500673,0.4415918002602003,2021-08-25,2022-04-26,-0.19083532230262357,-0.1850421485653686,-0.005793173737254964,0.9211567732115676,0.1126331811263318,24,3.36,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,two_state_biweekly_elow0.5_cost20bps,False,two_state,biweekly,0.5,20.0,1.0612400318001298,0.1489198097098967,0.20961830879180304,0.7104332182061766,-0.27342464724734605,0.5446466191293301,0.25162190457765377,0.8096181272224761,0.4695190768872209,2021-08-25,2022-04-26,-0.24210606048133565,-0.1850421485653686,-0.05706391191596705,0.943683409436834,0.1126331811263318,24,2.4,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,two_state_biweekly_elow0.7_cost20bps,False,two_state,biweekly,0.7,20.0,1.082563369446047,0.15119147528565335,0.21626220289406725,0.6991118802193659,-0.30706055745191074,0.4923832501975826,0.25162190457765377,0.8309414648683933,0.49228324492416314,2023-06-20,2024-02-07,-0.29067173277410474,-0.1850421485653686,-0.10562958420873614,0.9662100456621003,0.1126331811263318,24,1.4400000000000002,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,two_state_daily_elow0_cost20bps,False,two_state,daily,0.0,20.0,0.5241006041053051,0.08423952965080073,0.20129329506445295,0.4184914834039937,-0.2582222594294672,0.32622876833672254,0.25162190457765377,0.27247869952765136,0.13878023169023898,2021-08-25,2022-04-18,-0.09476876069916018,-0.1850421485653686,0.09027338786620842,0.8706240487062404,0.1293759512937595,89,17.8,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,two_state_daily_elow0.3_cost20bps,False,two_state,daily,0.3,20.0,0.6908214206283627,0.10605847785232747,0.2038675361105453,0.5202323031697319,-0.277427879774515,0.38229206790077697,0.25162190457765377,0.43919951605070895,0.25123156669730684,2021-08-25,2022-04-26,-0.18202398914489348,-0.1850421485653686,0.0030181594204751194,0.9094368340943684,0.1293759512937595,89,12.46,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,two_state_daily_elow0.5_cost20bps,False,two_state,daily,0.5,20.0,0.8060434871364708,0.12014190416030135,0.2085930344306922,0.575963164293581,-0.2904477645135253,0.4136437557422023,0.25162190457765377,0.554421582558817,0.32955842971466354,2021-08-25,2022-04-26,-0.23620020844704515,-0.1850421485653686,-0.05115805988167654,0.9353120243531202,0.1293759512937595,89,8.9,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,two_state_daily_elow0.7_cost20bps,False,two_state,daily,0.7,20.0,0.9240377415758112,0.1338307429952681,0.21555311238098546,0.6208713087785305,-0.3071714958004891,0.4356873760259073,0.25162190457765377,0.6724158369981574,0.40705260099704765,2023-06-20,2024-02-07,-0.28734925608120165,-0.1850421485653686,-0.10230710751583305,0.9611872146118722,0.1293759512937595,89,5.34,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_biweekly_elow0_cost40bps,False,hysteresis,biweekly,0.0,40.0,0.14265126927416283,0.025924018055532683,0.16640803081985572,0.15578585917885546,-0.24370474689857546,0.10637469472977351,0.25162190457765377,-0.10897063530349094,-0.15066116624152082,2021-01-04,2022-08-03,-0.11038344974690872,-0.1850421485653686,0.07465869881845988,0.5616438356164384,0.4383561643835616,16,6.4,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_biweekly_elow0.3_cost40bps,False,hysteresis,biweekly,0.3,40.0,0.3915562801233501,0.06547105712118184,0.17312031595040608,0.378182403155603,-0.24005931991334217,0.2727286620024414,0.25162190457765377,0.13993437554569632,0.03264703835326247,2021-01-04,2022-04-26,-0.19197369747326265,-0.1850421485653686,-0.006931548907894047,0.6931506849315068,0.4383561643835616,16,4.4799999999999995,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_biweekly_elow0.5_cost40bps,False,hysteresis,biweekly,0.5,40.0,0.576592916651951,0.091308910882687,0.18435736873743735,0.49528213332622245,-0.2609366656534745,0.3499274839510128,0.25162190457765377,0.32497101207429724,0.1728812132852896,2023-06-20,2024-02-07,-0.2428691314061877,-0.1850421485653686,-0.05782698284081911,0.7808219178082192,0.4383561643835616,16,3.2,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_biweekly_elow0.7_cost40bps,False,hysteresis,biweekly,0.7,40.0,0.7768886366736001,0.1166485502560679,0.20000689722791762,0.5832226381830282,-0.30495611912738285,0.38250929540240763,0.25162190457765377,0.5252667320959463,0.3171110230340889,2023-06-20,2024-02-07,-0.29110106413276593,-0.1850421485653686,-0.10605891556739733,0.8684931506849314,0.4383561643835616,16,1.9200000000000002,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_daily_elow0_cost40bps,False,hysteresis,daily,0.0,40.0,0.4501983389627753,0.07394553980258345,0.17361647245742529,0.4259131564875941,-0.19523434462763778,0.37875272377724656,0.25162190457765377,0.19857643438512151,0.06616547697338052,2021-01-04,2022-05-26,0.0,-0.1850421485653686,0.1850421485653686,0.669710806697108,0.3302891933028919,33,13.200000000000001,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_daily_elow0.3_cost40bps,False,hysteresis,daily,0.3,40.0,0.642501076720662,0.09992058663610726,0.17910776220501892,0.5578797111078377,-0.22714771142873214,0.43989255276937916,0.25162190457765377,0.39087917214300827,0.19876997374070934,2021-01-04,2022-04-26,-0.12274431610513814,-0.1850421485653686,0.06229783246023046,0.7687975646879756,0.3302891933028919,33,9.24,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_daily_elow0.5_cost40bps,False,hysteresis,daily,0.5,40.0,0.77392160737687,0.11629044793064458,0.1888948771944111,0.6156357951992428,-0.25438556295744585,0.4571424831608777,0.25162190457765377,0.5222997027992162,0.2951947219457258,2021-08-25,2022-04-26,-0.19695477648740767,-0.1850421485653686,-0.011912627922039065,0.834855403348554,0.3302891933028919,33,6.6000000000000005,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_daily_elow0.7_cost40bps,False,hysteresis,daily,0.7,40.0,0.9065948286756167,0.13185064785169764,0.20280849812365564,0.6501238807621669,-0.28236122180100476,0.466957349917617,0.25162190457765377,0.6549729240979629,0.3904628003031049,2021-08-25,2022-04-26,-0.2655416287577722,-0.1850421485653686,-0.0804994801924036,0.9009132420091326,0.3302891933028919,33,3.9600000000000004,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,two_state_biweekly_elow0_cost40bps,False,two_state,biweekly,0.0,40.0,0.8943074820207619,0.1304469991804087,0.2023942689772009,0.6445192338677493,-0.2526611645792758,0.516292242211522,0.25162190457765377,0.6426855774431082,0.3487272290689222,2021-01-04,2022-05-24,-0.11038344974690872,-0.1850421485653686,0.07465869881845988,0.8873668188736682,0.1126331811263318,24,9.6,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,two_state_biweekly_elow0.3_cost40bps,False,two_state,biweekly,0.3,40.0,0.9679056453309676,0.13874720498404725,0.2050538737101379,0.6766378146075841,-0.25599358893749025,0.5419948427611881,0.25162190457765377,0.7162837407533138,0.4084162206295017,2021-08-25,2022-04-26,-0.19197369747326265,-0.1850421485653686,-0.006931548907894047,0.9211567732115676,0.1126331811263318,24,6.72,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,two_state_biweekly_elow0.5_cost40bps,False,two_state,biweekly,0.5,40.0,1.0123792056498986,0.14364195666303492,0.20961971906383517,0.6852502107365761,-0.27560500648176145,0.5211877625036562,0.25162190457765377,0.7607573010722448,0.4452931308017023,2021-08-25,2022-04-26,-0.2428691314061877,-0.1850421485653686,-0.05782698284081911,0.943683409436834,0.1126331811263318,24,4.8,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,two_state_biweekly_elow0.7_cost40bps,False,two_state,biweekly,0.7,40.0,1.05279727715737,0.14801511711411242,0.21626484529417667,0.6844159850056684,-0.3083155185077935,0.48007676626361884,0.25162190457765377,0.8011753725797162,0.47760548716272533,2023-06-20,2024-02-07,-0.29110106413276593,-0.1850421485653686,-0.10605891556739733,0.9662100456621003,0.1126331811263318,24,2.8800000000000003,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,two_state_daily_elow0_cost40bps,False,two_state,daily,0.0,40.0,0.27483177558178684,0.04770554576684649,0.20189268502626692,0.23629160095939009,-0.2915238819677781,0.16364198173005717,0.25162190457765377,0.023209871004133076,-0.023868506490480855,2021-01-04,2022-04-18,-0.1002177995320791,-0.1850421485653686,0.0848243490332895,0.8706240487062404,0.1293759512937595,89,35.6,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,two_state_daily_elow0.3_cost40bps,False,two_state,daily,0.3,40.0,0.49235700716431463,0.07986844626350864,0.20414759436531335,0.3912289366515262,-0.2965237161419588,0.26934926926813546,0.25162190457765377,0.24073510258666087,0.12985622658446655,2021-08-25,2022-04-26,-0.18547186423101536,-0.1850421485653686,-0.0004297156656467571,0.9094368340943684,0.1293759512937595,89,24.92,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,two_state_daily_elow0.5_cost40bps,False,two_state,daily,0.5,40.0,0.6520676014620597,0.1011472518572476,0.20872597381011637,0.48459350798987755,-0.30388860461070966,0.33284318767668253,0.25162190457765377,0.4004456968844059,0.2402961450161518,2021-08-25,2022-04-26,-0.2385004005297645,-0.1850421485653686,-0.05345825196439591,0.9353120243531202,0.1293759512937595,89,17.8,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,two_state_daily_elow0.7_cost40bps,False,two_state,daily,0.7,40.0,0.8239470519759236,0.12226459903400944,0.21559393778769745,0.5671059227760267,-0.3117395259538346,0.39220114504220926,0.25162190457765377,0.5723251473982698,0.3526466095018687,2023-06-20,2024-02-07,-0.28863725106293514,-0.1850421485653686,-0.10359510249756654,0.9611872146118722,0.1293759512937595,89,10.68,1313,1314
